"peak","3h-Mon-Rep1","3h-Mon-Rep2","3h-Mon-Rep3","6h-Mon-Rep1","6h-Mon-Rep2","6h-Mon-Rep3","12h-Mon-Rep1","12h-Mon-Rep2","12h-Mon-Rep3"
"chr1_43974490_43975113",10,38,32,13,16,24,17,4,17
"chr1_44355039_44355617",9,26,25,10,19,16,9,0,18
"chr1_44674015_44674691",8,26,27,19,12,19,14,4,28
"chr1_44739347_44740015",13,33,24,13,24,24,11,4,28
"chr1_44799574_44800555",15,48,49,26,37,30,24,8,42
"chr1_44807301_44808105",10,41,32,18,20,16,15,6,33
"chr1_44986132_44986931",10,35,19,12,16,17,10,5,27
"chr1_45303374_45304261",20,47,39,20,37,38,27,7,36
"chr1_45339738_45340727",13,50,33,29,26,29,16,9,32
"chr1_45490763_45491600",10,53,46,20,23,31,32,7,55
"chr1_45499852_45500501",9,56,41,21,31,31,22,11,58
"chr1_45521526_45522090",11,16,18,11,17,22,14,3,23
"chr1_45550445_45551262",14,30,21,13,14,24,16,6,31
"chr1_45583151_45584751",22,78,50,26,37,59,27,7,63
"chr1_45686290_45687506",21,104,84,59,53,53,55,18,96
"chr1_45750241_45751039",17,72,44,34,29,43,32,12,59
"chr1_46132442_46133305",13,57,60,17,42,46,34,7,61
"chr1_46247038_46247921",23,64,47,33,54,40,35,12,64
"chr1_46303004_46303595",10,22,22,16,20,18,15,3,16
"chr1_46340407_46341336",13,29,31,16,20,14,15,4,35
"chr1_46586884_46587409",7,18,17,8,8,11,2,2,18
"chr1_46603937_46604656",12,40,34,21,30,33,21,6,38
"chr1_46718836_46719636",14,54,43,19,29,24,21,5,50
"chr1_47313916_47314740",20,132,108,35,65,90,62,20,101
"chr1_47333325_47334946",16,74,42,22,26,48,20,16,65
"chr1_47437388_47438190",10,60,31,20,18,23,12,8,28
"chr1_48196142_48196641",3,17,10,1,8,3,5,5,13
"chr1_48244990_48245574",7,33,31,8,13,31,25,8,34
"chr1_48469986_48470508",8,23,28,5,17,14,11,12,19
"chr1_48793816_48794333",9,23,33,4,7,16,17,1,19
"chr1_50959848_50960603",15,49,49,16,20,29,26,10,61
"chr1_50968020_50968870",13,56,28,18,21,24,23,9,45
"chr1_51729361_51729967",11,50,41,22,28,40,24,9,43
"chr1_51878140_51879217",23,75,73,34,51,45,47,16,77
"chr1_52055929_52056571",9,41,21,14,15,14,15,8,27
"chr1_52365903_52366669",27,77,81,40,65,74,48,25,75
"chr1_52404205_52404823",5,34,21,14,13,23,17,3,35
"chr1_52637006_52637792",9,38,13,19,20,18,11,4,32
"chr1_52702823_52703396",2,27,13,10,12,9,14,2,37
"chr1_53196464_53196992",6,22,14,8,9,17,11,6,21
"chr1_53220038_53220913",17,42,35,9,27,44,20,4,38
"chr1_53325930_53326664",23,90,65,41,53,52,37,14,71
"chr1_53837943_53838899",18,81,37,29,32,42,23,10,43
"chr1_53945294_53946564",25,72,86,52,59,82,50,17,70
"chr1_54052989_54053754",41,107,76,49,54,65,60,19,96
"chr1_54199834_54200432",11,42,22,14,13,12,19,2,36
"chr1_54541918_54542965",25,66,54,34,27,58,28,8,57
"chr1_54715561_54716169",3,15,18,8,14,12,9,8,18
"chr1_54764373_54765015",15,83,63,32,41,74,40,21,79
"chr1_54886788_54887687",11,41,28,31,23,28,16,6,29
"chr1_56249105_56249761",6,28,18,13,15,13,7,3,21
"chr1_56424643_56425540",15,46,30,15,9,32,19,6,30
"chr1_56974239_56974775",11,15,12,8,4,15,10,3,15
"chr1_58546448_58547195",14,57,50,26,29,39,22,4,52
"chr1_58783775_58784501",13,71,61,19,41,45,30,17,64
"chr1_59292458_59293062",6,25,20,10,10,23,10,8,33
"chr1_59296334_59297300",24,80,62,25,38,43,34,7,69
"chr1_61077741_61078406",11,62,48,19,44,46,33,13,67
"chr1_61253234_61253852",9,21,13,16,5,20,7,7,21
"chr1_61453286_61453799",7,16,17,6,10,13,6,6,18
"chr1_61724843_61725513",10,40,34,26,20,34,18,10,42
"chr1_62436058_62436913",50,191,154,78,92,133,92,29,204
"chr1_62783566_62784290",12,35,27,19,20,35,19,5,49
"chr1_63367061_63368088",24,92,54,23,32,42,35,12,67
"chr1_63522724_63523775",18,56,26,23,27,45,30,7,55
"chr1_63593401_63594062",17,40,15,9,9,24,9,4,23
"chr1_64512211_64512759",9,37,24,10,8,18,14,8,25
"chr1_64863987_64864606",13,32,24,20,17,31,24,3,53
"chr1_64895350_64895935",11,44,29,19,13,32,17,15,60
"chr1_64966228_64966939",7,36,19,10,14,15,12,2,25
"chr1_65066476_65067030",11,29,14,6,6,20,11,1,22
"chr1_65165515_65166108",13,46,38,14,15,33,19,11,48
"chr1_65170259_65171159",14,31,17,8,17,22,18,12,34
"chr1_65174458_65175035",8,27,18,12,9,24,16,8,29
"chr1_65420025_65421129",53,218,208,66,96,166,100,32,216
"chr1_65791275_65791846",4,22,23,8,13,15,17,4,31
"chr1_65811871_65812486",7,35,52,15,25,32,29,8,49
"chr1_65939590_65940122",6,23,20,5,13,19,11,6,27
"chr1_66335819_66336517",9,61,51,33,31,55,39,15,61
"chr1_66373035_66373737",10,30,36,12,13,31,6,5,32
"chr1_66393413_66394017",10,70,46,20,23,47,32,10,71
"chr1_66395032_66395816",21,79,57,24,20,57,28,11,76
"chr1_66648736_66649322",9,33,28,5,9,13,5,4,16
"chr1_66924681_66925575",60,216,216,69,98,189,108,31,197
"chr1_66929902_66930892",39,141,106,49,47,108,57,18,172
"chr1_66995956_66996462",9,22,16,7,11,9,9,3,18
"chr1_66999908_67000484",1,16,13,5,9,16,13,9,24
"chr1_67053555_67054666",35,123,82,24,40,56,37,10,83
"chr1_67149050_67149617",10,21,9,2,7,13,6,2,24
"chr1_67430214_67431063",30,128,129,48,59,119,69,19,170
"chr1_67684862_67685493",45,139,133,60,60,109,80,25,159
"chr1_67686465_67687076",19,49,49,16,18,29,29,10,61
"chr1_68291933_68292484",8,29,26,7,5,21,11,4,26
"chr1_68496431_68497433",53,205,157,54,65,148,69,31,141
"chr1_69911097_69911652",7,31,31,4,18,25,20,8,41
"chr1_70041588_70042846",15,68,43,20,29,36,35,11,68
"chr1_70083400_70084031",12,40,38,17,16,28,30,13,49
"chr1_70132878_70133408",4,14,11,3,8,10,7,6,14
"chr1_70205297_70205969",25,85,65,38,31,76,39,19,89
"chr1_70221102_70221663",28,76,47,37,42,59,39,5,90
"chr1_70353825_70355072",31,151,100,28,52,74,48,6,121
"chr1_70410591_70411437",61,173,149,69,83,156,89,20,167
"chr1_70509924_70510510",14,20,27,6,11,17,19,3,44
"chr1_70685198_70685758",11,41,39,9,22,27,23,10,38
"chr1_70948504_70949065",5,21,9,5,6,16,11,7,15
"chr1_71080785_71081625",24,96,70,25,36,88,53,14,96
"chr1_71413684_71414612",16,48,37,16,12,33,33,6,38
"chr1_71881540_71882129",8,38,31,12,12,17,21,7,49
"chr1_72282531_72283126",9,37,23,13,20,39,17,6,46
"chr1_72283479_72284252",14,28,24,10,21,24,14,3,37
"chr1_72366381_72366944",8,42,32,4,19,20,26,10,49
"chr1_72623119_72623690",7,25,22,10,12,23,11,3,22
"chr1_72635559_72636188",11,53,54,14,24,50,33,18,68
"chr1_72932004_72932550",5,30,11,11,15,20,16,4,17
"chr1_72935133_72935764",12,31,35,7,18,26,21,5,34
"chr1_73516412_73516950",7,37,37,15,39,37,23,10,44
"chr1_74168803_74169336",2,14,15,6,7,10,12,6,13
"chr1_74198007_74198634",62,238,256,60,88,210,115,39,227
"chr1_74504074_74504608",4,17,24,9,7,24,10,7,15
"chr1_74732806_74734111",47,206,206,76,91,160,104,34,196
"chr1_74908724_74909265",21,68,56,21,25,62,42,13,72
"chr1_75625678_75626269",6,33,19,6,9,9,16,3,27
"chr1_75724068_75725057",29,117,114,27,54,93,57,13,123
"chr1_75745286_75745848",25,79,100,22,40,68,58,23,114
"chr1_75784514_75785125",11,45,44,15,17,45,27,8,58
"chr1_75785876_75786445",18,85,68,26,33,82,59,23,114
"chr1_75942974_75943631",11,50,35,16,19,34,23,5,42
"chr1_76075796_76076377",13,99,69,22,29,45,39,14,82
"chr1_76154030_76155096",13,53,47,14,15,26,32,12,43
"chr1_76763598_76764121",8,22,18,3,13,10,7,3,30
"chr1_76868023_76868701",13,28,25,5,19,15,10,1,8
"chr1_77059793_77060449",9,46,39,16,11,29,17,6,47
"chr1_77218728_77219725",15,46,37,15,28,26,30,8,48
"chr1_77413457_77414074",15,44,36,19,13,43,28,4,64
"chr1_77682476_77683843",24,128,122,48,58,110,74,17,151
"chr1_77759144_77760170",16,55,44,36,19,56,33,9,69
"chr1_77779358_77779940",12,29,20,13,9,31,19,5,36
"chr1_77978857_77979751",24,101,79,50,54,78,63,13,117
"chr1_78004133_78005132",20,80,57,29,36,59,40,23,109
"chr1_78144977_78145599",5,19,13,8,9,9,12,6,21
"chr1_78277038_78277751",13,54,37,9,25,40,25,18,54
"chr1_78475844_78476702",12,23,33,7,9,30,13,7,34
"chr1_78617466_78618017",2,31,35,7,16,18,8,10,28
"chr1_78645650_78646191",4,26,23,9,10,27,16,5,33
"chr1_78911839_78912401",5,19,25,10,17,17,19,5,39
"chr1_80059920_80060465",4,20,18,2,7,15,8,7,16
"chr1_80461971_80462480",4,23,20,4,16,16,10,11,18
"chr1_81121210_81121786",11,48,36,11,15,23,22,8,60
"chr1_81208283_81208899",13,61,59,19,24,41,42,16,81
"chr1_81470186_81470712",8,35,27,9,15,17,18,0,30
"chr1_81617226_81617750",5,24,12,8,9,14,10,5,13
"chr1_81800910_81801637",4,31,20,9,14,19,17,6,16
"chr1_82225288_82225902",16,88,57,14,31,40,40,14,60
"chr1_83860337_83861187",15,36,46,11,31,45,29,7,37
"chr1_83998916_83999671",15,74,49,26,23,39,14,7,37
"chr1_84225405_84226171",12,24,20,8,7,19,11,6,24
"chr1_84271197_84272123",16,43,38,13,18,42,21,9,43
"chr1_84298148_84299336",18,39,44,16,21,41,17,6,44
"chr1_84442082_84442678",6,34,30,20,22,22,16,9,40
"chr1_84479006_84480023",19,50,39,14,24,36,19,8,53
"chr1_84505516_84506917",43,145,121,54,81,113,83,25,132
"chr1_84573063_84573289",4,4,14,4,8,9,8,3,21
"chr1_84573766_84574835",28,108,60,36,42,66,45,12,98
"chr1_84620544_84621306",10,57,49,22,14,46,20,7,64
"chr1_84690304_84690966",20,94,72,27,41,59,44,11,107
"chr1_84779841_84780411",17,60,48,16,28,52,30,18,74
"chr1_84854255_84854769",4,24,17,7,10,14,15,5,35
"chr1_84889371_84889891",0,18,14,4,7,13,7,9,22
"chr1_84944842_84945627",10,36,45,14,16,36,18,3,44
"chr1_85259192_85259962",18,67,38,15,22,34,28,6,54
"chr1_85276196_85276984",77,236,224,70,123,208,147,39,246
"chr1_85580749_85581675",16,70,41,13,19,29,20,14,42
"chr1_85707961_85708759",39,139,119,52,50,140,78,29,177
"chr1_86339234_86339896",16,57,39,13,23,39,25,8,41
"chr1_86395822_86396667",18,77,59,19,37,69,31,9,71
"chr1_86429722_86430279",8,31,34,16,16,29,25,11,52
"chr1_86704244_86705141",35,168,118,59,71,121,60,27,142
"chr1_86774070_86774757",18,76,45,24,15,46,38,6,74
"chr1_86788060_86788801",11,44,33,15,15,31,28,12,57
"chr1_86913915_86915162",41,155,135,63,69,98,82,20,168
"chr1_87151640_87152374",10,48,35,15,15,34,21,10,51
"chr1_87179513_87180625",17,46,31,21,25,48,19,1,54
"chr1_87305010_87305581",6,22,10,9,8,17,16,8,25
"chr1_87328133_87328730",15,68,39,24,37,46,36,11,82
"chr1_87423720_87424345",7,35,32,17,12,22,25,11,47
"chr1_87869560_87870220",8,59,37,18,18,47,41,14,61
"chr1_87902655_87903279",11,37,38,18,21,38,32,5,44
"chr1_88683720_88684490",23,141,119,44,49,100,63,19,134
"chr1_88701183_88701725",7,21,15,16,11,18,15,4,17
"chr1_88891268_88891902",12,56,68,17,26,40,37,15,60
"chr1_88992374_88993279",24,128,105,61,68,115,78,21,132
"chr1_89488758_89489526",4,19,18,9,11,19,13,2,28
"chr1_89524270_89525074",13,52,20,14,15,19,12,7,36
"chr1_89632568_89633521",13,60,32,11,20,25,14,8,46
"chr1_89757400_89758165",6,50,31,22,14,33,25,8,62
"chr1_89815569_89816094",4,26,16,9,10,19,17,7,33
"chr1_89820608_89822300",28,87,58,37,33,73,50,15,81
"chr1_89843064_89843905",14,43,21,14,13,34,20,1,28
"chr1_89994645_89995403",24,94,57,37,50,63,38,18,90
"chr1_90325035_90325715",14,43,37,11,21,26,19,3,44
"chr1_91021597_91022587",31,127,110,50,53,77,52,14,107
"chr1_91500592_91501634",10,71,63,20,56,45,35,15,50
"chr1_92080011_92080841",12,28,17,16,13,18,19,4,31
"chr1_92096229_92096739",4,14,12,15,11,17,15,7,39
"chr1_92298469_92299335",8,50,39,17,21,32,22,7,42
"chr1_92459759_92460359",21,79,59,30,23,46,26,15,84
"chr1_92485826_92486404",8,36,16,13,16,15,8,1,28
"chr1_92784604_92785507",19,77,55,29,48,53,30,17,93
"chr1_92831729_92832244",7,38,32,9,27,41,27,4,56
"chr1_93078886_93079461",5,30,29,14,14,33,20,7,50
"chr1_93179692_93180907",25,119,85,65,66,79,57,19,145
"chr1_93317152_93317651",3,17,6,3,2,10,6,5,19
"chr1_93345485_93346087",9,30,13,14,11,16,15,4,40
"chr1_93846999_93848137",16,63,36,25,23,55,27,12,58
"chr1_93909267_93909997",21,48,27,13,18,43,14,9,54
"chr1_94339411_94340237",7,24,13,10,10,26,13,6,22
"chr1_94417914_94418649",23,109,75,37,65,74,30,15,98
"chr1_94541258_94542240",16,28,20,13,15,28,14,8,32
"chr1_94602174_94602907",18,60,53,29,19,43,32,11,61
"chr1_94713402_94714174",6,43,27,24,12,31,16,7,43
"chr1_94720281_94720975",12,44,39,23,15,39,23,7,57
"chr1_94721128_94721730",12,33,25,18,14,21,17,3,43
"chr1_94755559_94756192",11,33,19,10,7,13,13,7,40
"chr1_94854296_94854835",9,32,18,7,11,22,19,11,27
"chr1_95043313_95043859",3,30,31,9,7,10,13,7,23
"chr1_95066908_95067585",6,22,23,7,8,22,10,5,42
"chr1_95072384_95073259",28,112,88,42,51,89,62,15,113
"chr1_95095668_95096324",1,17,15,10,9,15,19,6,21
"chr1_95233759_95234639",49,120,105,45,40,83,50,12,105
"chr1_96049616_96050429",11,27,42,10,21,13,21,7,28
"chr1_96309663_96310218",14,23,34,10,6,32,17,12,32
"chr1_96362482_96363184",15,65,63,18,21,67,44,14,80
"chr1_96465336_96465953",9,45,28,11,13,26,36,11,55
"chr1_96524041_96524540",6,24,8,8,6,19,12,3,17
"chr1_96560034_96560610",14,49,43,19,34,47,48,17,86
"chr1_96683818_96684375",6,14,14,11,9,40,37,11,43
"chr1_96721197_96722475",26,90,32,35,29,54,28,13,59
"chr1_97849862_97850422",8,21,20,5,7,11,16,7,22
"chr1_97920693_97921400",31,76,74,22,33,57,45,11,59
"chr1_98053611_98054511",15,42,33,11,24,22,12,2,34
"chr1_98323312_98324608",34,174,158,44,66,125,97,35,158
"chr1_98766214_98766713",8,21,8,5,9,15,9,4,22
"chr1_98794190_98794730",8,21,23,5,8,18,10,6,27
"chr1_98871365_98872051",35,160,172,43,56,93,60,29,145
"chr1_98881726_98882431",14,32,28,6,18,36,16,3,44
"chr1_99180258_99180757",6,14,11,7,8,11,22,5,17
"chr1_99264079_99264769",10,47,34,11,16,24,12,1,29
"chr1_99363122_99363648",1,21,12,8,10,13,2,3,14
"chr1_99707500_99707999",5,9,12,3,6,10,6,4,20
"chr1_99849782_99850546",12,62,31,23,19,46,24,4,57
"chr1_99969694_99970753",15,59,38,24,23,40,32,7,64
"chr1_100037753_100038703",12,52,37,14,20,39,14,2,43
"chr1_100132698_100133302",17,97,72,31,45,69,41,17,96
"chr1_100249602_100250198",21,74,44,26,41,58,34,6,73
"chr1_100265814_100266485",11,58,30,23,32,49,36,10,56
"chr1_100351063_100351867",18,50,39,23,23,34,29,6,55
"chr1_100351997_100352715",13,59,46,25,16,37,26,14,50
"chr1_100463639_100464327",9,54,21,12,6,13,7,6,24
"chr1_100510971_100511596",9,49,31,19,18,47,37,13,58
"chr1_100522913_100523507",6,30,18,14,13,32,8,8,30
"chr1_100530733_100531333",8,32,41,10,12,38,37,8,58
"chr1_100631112_100631752",5,39,25,17,26,32,18,8,63
