Chromosome/scaffold name	Gene name	Gene % GC content	Entrezgene	Gene start (bp)	Gene end (bp)	 type
3	MIR922	56.79	100126321	197674496	197674576	miRNA
10	MIR938	48.19	100126327	29602264	29602346	miRNA
4	MIR943	67.02	100126332	1986384	1986477	miRNA
HG2419_PATCH	MIR939	74.39	100126351	124752	124833	miRNA
8	MIR939	74.39	100126351	144394149	144394230	miRNA
3	EGOT	44.64	100126791	4749192	4751590	lncRNA
3	GHRLOS	52.12	100126793	10285754	10294903	lncRNA
20	SLCO4A1-AS1	60.96	100127888	62663019	62666724	lncRNA
12	KRT73-AS1	48.35	100127967	52601467	52615305	lncRNA
8	C8orf88	32.96	100127983	90958471	90985238	protein_coding
5		47.27	100128059	170308701	170312806	lncRNA
1	FAM229A	61.28	100128071	32361270	32364278	protein_coding
10	ST8SIA6-AS1	42.79	100128098	17386919	17445758	lncRNA
15	UBE2Q2P13	44.33	100128108	101737099	101746870	lncRNA
3	FHL1P1	40.02	100128164	169939353	169966734	lncRNA
12	TMPO-AS1	49.57	100128191	98512973	98516422	lncRNA
14	LINC02324	45.09	100128233	65197254	65222443	lncRNA
11	LINC02731	51.52	100128239	134032216	134067936	lncRNA
19	ZNF667-AS1	43.23	100128252	56477250	56504362	lncRNA
20		53.95	100128310	61717506	61719748	lncRNA
6	TRAPPC3L	37.81	100128327	116494989	116545684	protein_coding
9	FAM225B	50.06	100128385	113102117	113111543	lncRNA
11	ARHGAP42-AS1	47.07	100128386	100684162	100687955	lncRNA
19	ZNF606-AS1	50.45	100128398	58002061	58011232	lncRNA
X	LINC00892	48.33	100128420	136639535	136642433	lncRNA
11		53.16	100128494	72014291	72020910	lncRNA
9	ASTN2-AS1	40.89	100128505	116504283	116562293	lncRNA
22	KIAA1671-AS1	50.17	100128531	25102433	25112692	lncRNA
HSCHR7_3_CTG4_4	CTAGE4	41.91	100128553	138069	140399	protein_coding
7	CTAGE4	41.68	100128553	144183466	144186080	protein_coding
12	LINC02347	41.16	100128554	126438837	126472790	lncRNA
19	RANBP3-DT	53.23	100128568	5978333	6020363	lncRNA
19	TEKTIP1	56.19	100128569	3539171	3544030	protein_coding
2	SLC8A1-AS1	38.74	100128590	39786453	40255209	lncRNA
3	ACVR2B-AS1	56.48	100128640	38451027	38454820	lncRNA
19	LINC01531	46.84	100128682	35399511	35419385	lncRNA
2	OST4	54.69	100128731	27070472	27071654	protein_coding
16		58.00	100128770	3032481	3039133	lncRNA
9	ERCC6L2-AS1	42.25	100128782	95759231	95876049	lncRNA
16	SRRM2-AS1	56.05	100128788	2737076	2752600	lncRNA
16	VPS9D1-AS1	56.56	100128881	89711856	89718165	lncRNA
2	LINC01960	55.84	100128905	174025280	174027163	lncRNA
14	CIROP	49.68	100128908	23099062	23104989	protein_coding
14	ZBTB42	64.61	100128927	104800596	104804712	protein_coding
2	PKP4-AS1	44.15	100129029	158658337	158735002	lncRNA
3	SEMA3F-AS1	56.34	100129060	50116022	50156085	lncRNA
14	KTN1-AS1	41.02	100129075	55496786	55580888	lncRNA
1		35.96	100129138	104072983	104226678	lncRNA
6	ZSCAN16-AS1	39.20	100129195	28015122	28137313	lncRNA
1	MATN1-AS1	56.43	100129196	30718504	30726827	lncRNA
11	LNCRNA-IUR	37.18	100129203	95150539	95234391	lncRNA
16		60.32	100129215	87693537	87696147	lncRNA
9	SMIM27	42.17	100129250	32551144	32568621	protein_coding
HG2231_HG2496_PATCH	TDRD15	35.06	100129278	174636	195036	protein_coding
2	TDRD15	35.06	100129278	21123968	21144368	protein_coding
9	LINC00484	44.34	100129347	91118592	91182762	lncRNA
HSCHR12_3_CTG2	SMIM10L1	38.61	100129361	366162	370955	lncRNA
HSCHR12_2_CTG2	SMIM10L1	64.36	100129361	402018	402219	processed_pseudogene
12	SMIM10L1	38.96	100129361	11171194	11176016	protein_coding
17	FAM106C	45.53	100129396	16788879	16790501	lncRNA
6	LYRM4-AS1	45.44	100129461	5003774	5045666	lncRNA
3	MKRN2OS	43.71	100129480	12514934	12561059	protein_coding
10	ZNF37BP	39.07	100129482	42513510	42552832	lncRNA
7	LINC02983	64.69	100129484	5426277	5428927	lncRNA
X	ETDB	43.13	100129515	135118955	135120526	protein_coding
6	SOD2-OT1	55.42	100129518	159760258	159762332	lncRNA
1		57.62	100129534	2350414	2352820	lncRNA
15		51.29	100129540	78978889	78985926	lncRNA
19	ZNF730	41.52	100129543	23075210	23147221	protein_coding
3	LINC02035	43.74	100129550	122886941	122892416	lncRNA
4	FAM47E	41.26	100129583	76214040	76283783	protein_coding
5	ARRDC3-AS1	37.24	100129716	91380349	91616105	lncRNA
2	MAPRE3-AS1	43.60	100129724	26984776	27014612	lncRNA
2	LINC01126	56.62	100129726	43227210	43228855	lncRNA
16	MIR193BHG	49.54	100129781	14301389	14331067	lncRNA
5	CCDC152	35.71	100129792	42756818	42802439	protein_coding
14	SLC25A21-AS1	46.05	100129794	37171888	37173811	lncRNA
11	IRAG1-AS1	42.37	100129827	10541258	10599939	lncRNA
19	ZNF737	39.46	100129842	20535825	20565809	protein_coding
7	PCOLCE-AS1	54.10	100129845	100589402	100604206	lncRNA
4	SCOC-AS1	40.85	100129858	140283724	140373409	lncRNA
18	DYM-AS1	46.24	100129878	49023703	49048474	lncRNA
4	PCGF3-AS1	50.71	100129917	760202	781866	lncRNA
1	TMEM269	44.11	100129924	42784991	42816619	protein_coding
4		52.74	100129931	7030554	7046231	lncRNA
12	HMGA2-AS1	39.37	100129940	65851340	65882167	lncRNA
X	HDAC6	50.55	10013	48801377	48824982	protein_coding
16	URAHP	59.33	100130015	90039761	90047773	lncRNA
X	HSFX2	56.97	100130086	149592512	149595314	protein_coding
HSCHR17_1_CTG5	MAPT-IT1	55.60	100130148	889441	892431	lncRNA
HSCHR17_2_CTG5	MAPT-IT1	55.44	100130148	597911	600926	lncRNA
17	MAPT-IT1	55.44	100130148	45895783	45898798	lncRNA
1	EFCAB14-AS1	39.77	100130197	46674036	46692098	lncRNA
3	SUMF1	39.53	100130207	3700814	4467273	protein_coding
8	LINC00861	37.75	100130231	125859721	126292788	lncRNA
1	LINC02961	50.82	100130249	234757619	234760056	lncRNA
20	SLC24A3-AS1	44.45	100130264	19242302	19284596	lncRNA
X	SUPT20HL1	47.33	100130302	24360639	24367839	protein_coding
17	C17orf107	62.89	100130311	4899418	4902934	protein_coding
1		41.97	100130331	237862175	237928321	lncRNA
11	TMEM262	55.56	100130348	65084979	65089375	protein_coding
6		46.94	100130357	13264861	13295586	lncRNA
6	WAKMAR2	41.13	100130476	137823673	137868233	lncRNA
19	TMEM221	50.71	100130519	17435509	17448668	protein_coding
HG2580_PATCH	CD300H	51.23	100130520	136619	143957	protein_coding
17	CD300H	51.50	100130520	74560701	74567343	protein_coding
18	PARD6G-AS1	48.75	100130522	80147908	80179839	lncRNA
9		61.63	100130548	134054290	134058805	lncRNA
2		39.91	100130691	177271125	177392699	lncRNA
7	SPMIP1	57.10	100130705	128866330	128872047	protein_coding
22	HDHD5-AS1	49.34	100130717	17159351	17165447	lncRNA
5	LRRC70	32.61	100130733	62578819	62581446	protein_coding
8	LRRC69	36.91	100130742	91101832	91219257	protein_coding
7	EFCAB10	43.10	100130771	105565120	105600875	protein_coding
12	AGAP2-AS1	66.06	100130776	57726271	57728356	lncRNA
7	CREB3L2-AS1	42.22	100130880	137953348	137957966	lncRNA
10	ATE1OSP	43.73	100130887	121928056	121952139	lncRNA
6	TSTD3	38.67	100130890	99520976	99589899	protein_coding
16	VAC14-AS1	52.56	100130894	70755035	70773251	lncRNA
17	SMIM6	55.57	100130933	75646243	75647975	protein_coding
17	ZNF594-DT	47.73	100130950	5192007	5248182	lncRNA
16	SYCE1L	46.13	100130958	77199408	77213215	protein_coding
6	LINC02901	45.18	100130967	158869848	158919105	lncRNA
7	ZNF316	60.32	100131017	6637318	6658279	protein_coding
5	CKMT2-AS1	42.03	100131067	81201341	81301565	lncRNA
15	SRP14-DT	49.16	100131089	40039242	40080614	lncRNA
19	DPP9-AS1	59.26	100131094	4679282	4685948	lncRNA
3	ZBTB20-AS1	39.77	100131117	114351771	114388978	lncRNA
7	WDR86-AS1	60.18	100131176	151409161	151413354	lncRNA
1	TSTD1	60.06	100131187	161037631	161038977	protein_coding
9	CCDC183-AS1	64.67	100131193	136803927	136808848	lncRNA
2	NEMP2	40.26	100131211	190504338	190534722	protein_coding
10	ZNF503-AS2	59.66	100131213	75401519	75408982	lncRNA
16	DPEP2NB	50.08	100131303	68013436	68015911	protein_coding
HSCHR2_12_CTG7_2	RAB6C-AS1	41.77	100131320	138834	152708	lncRNA
2	RAB6C-AS1	41.77	100131320	129966592	129980466	lncRNA
17	RDM1P5	51.12	100131347	39057019	39113190	lncRNA
X	EOLA1-DT	52.08	100131434	149527591	149540959	lncRNA
HG2580_PATCH	CD300LD	45.64	100131439	155813	168731	protein_coding
17	CD300LD	45.64	100131439	74579365	74592283	protein_coding
20		51.93	100131496	47318502	47320754	lncRNA
HG76_PATCH	PRR23D1	48.88	100131608	676902	679724	protein_coding
HG76_PATCH	PRR23D2	48.94	100131608	5375815	5378636	protein_coding
HSCHR8_3_CTG1	PRR23D1	48.85	100131608	222731	225553	protein_coding
8	PRR23D1	48.87	100131608	7539627	7542450	protein_coding
8	PRR23D2	48.88	100131608	7778591	7781413	protein_coding
18	ZNF236-DT	46.24	100131655	76794732	76822295	lncRNA
19	MZF1-AS1	55.09	100131691	58559125	58574797	lncRNA
8	FAM83A-AS1	46.76	100131726	123193645	123202743	lncRNA
X	ARMCX4	41.06	100131755	101418287	101533459	protein_coding
19	PET100	56.06	100131801	7629788	7631956	protein_coding
6	AHI1-DT	37.48	100131814	135497422	135828703	lncRNA
3	ZNF717	40.85	100131827	75678660	75785583	protein_coding
5	INSYN2B	43.50	100131897	169861303	169980495	protein_coding
9	FAM27E3	53.73	100131997	67717411	67719178	lncRNA
16	RRN3P3	48.98	100131998	22418672	22437715	lncRNA
11		49.35	100132078	111414242	111418186	lncRNA
15	HERC2P7	45.69	100132101	23310881	23314566	lncRNA
HG76_PATCH	FAM66B	42.18	100132103	864022	920616	lncRNA
HG76_PATCH	FAM66E	41.86	100132103	5553463	5606836	lncRNA
HSCHR8_3_CTG1	FAM66B	43.22	100132103	9695	39621	lncRNA
8	FAM66E	41.90	100132103	7955014	8008755	lncRNA
8	FAM66B	42.18	100132103	7298744	7355359	lncRNA
16	WASIR2	53.03	100132169	22910	25123	lncRNA
2	EHBP1-AS1	35.93	100132215	62957326	63048640	lncRNA
HG926_PATCH	NPIPB5	47.67	100132247	568655	591235	protein_coding
16	NPIPB5	43.89	100132247	22479121	22536535	protein_coding
9		42.28	100132249	41269916	41273997	TEC
21	TEKT4P2	45.64	100132288	9068325	9129773	lncRNA
1	NBPF10	41.59	100132406	146064711	146229000	protein_coding
1	FCGR1CP	41.82	100132417	143874793	143883575	unprocessed_pseudogene
3	FGD5P1	57.78	100132526	13933056	13936944	lncRNA
16	TAT-AS1	42.48	100132529	71564952	71578187	lncRNA
12	PGAM1P5	42.43	100132594	95551582	95673999	lncRNA
14	LINC02312	42.10	100132612	97749264	97763989	lncRNA
11		42.31	100132686	112260265	112261396	lncRNA
8	MSC-AS1	37.87	100132891	71828167	72118393	lncRNA
X	FAM223A	46.42	100132967	154571248	154571960	lncRNA
10	LINC00595	47.44	100132987	78179185	78551355	lncRNA
9	FAM95B1	53.69	100133036	40321299	40329221	lncRNA
HSCHR7_2_CTG4_4	LINC03009	41.83	100133091	36194	114817	lncRNA
7	LINC03009	41.83	100133091	76549360	76627982	lncRNA
HG2280_PATCH	GOLGA6L5P	53.89	100133220	1001772	1008631	transcribed_unprocessed_pseudogene
15	GOLGA6L3P	53.80	100133220	85240472	85247170	unprocessed_pseudogene
15	GOLGA6L5P	53.89	100133220	84509926	84516785	transcribed_unprocessed_pseudogene
HG76_PATCH	PRR23D1	48.88	100133251	676902	679724	protein_coding
HG76_PATCH	PRR23D2	48.94	100133251	5375815	5378636	protein_coding
HSCHR8_3_CTG1	PRR23D1	48.85	100133251	222731	225553	protein_coding
8	PRR23D1	48.87	100133251	7539627	7542450	protein_coding
8	PRR23D2	48.88	100133251	7778591	7781413	protein_coding
21	CBR1-AS1	43.47	100133286	36069642	36126640	lncRNA
7	HOXA-AS3	51.21	100133311	27129977	27155928	lncRNA
11	XNDC1N	42.82	100133315	71865504	71928654	protein_coding
17	PRO1804	40.98	100133319	69232963	69235012	TEC
1	LINC01134	56.61	100133612	3900347	3917225	lncRNA
6	CD24	50.84	100133941	106969831	106975627	protein_coding
X	UXT-AS1	41.18	100133957	47658833	47692326	lncRNA
20	UBOX5-AS1	47.65	100134015	3106913	3150867	lncRNA
7	KDM7A-DT	50.47	100134229	140177184	140179640	lncRNA
2	LINC01119	48.05	100134259	46816697	46859009	lncRNA
17		52.87	100134391	73737854	73756932	lncRNA
7	NDUFB2-AS1	55.74	100134713	140695336	140697077	lncRNA
HSCHR15_5_CTG8	UBE2Q2P2	39.38	100134869	144196	208476	lncRNA
15	UBE2Q2P2	39.38	100134869	82355142	82419391	lncRNA
17	TEN1	49.22	100134934	75979240	76000586	protein_coding
7	UPK3BL1	57.17	100134938	102637025	102642791	protein_coding
15	JMJD7	54.78	100137047	41828092	41837581	protein_coding
15	PLA2G4B	60.49	100137049	41837775	41848147	protein_coding
17	HDAC5	55.66	10014	44076746	44123702	protein_coding
17	C17orf99	52.12	100141515	78146385	78166297	protein_coding
HSCHR7_3_CTG4_4	CTAGE8	41.91	100142659	221514	223844	protein_coding
7	CTAGE8	41.64	100142659	144266674	144269288	protein_coding
22	CHKB-DT	46.09	100144603	50583026	50595634	lncRNA
HG2334_PATCH	KLLN	63.48	100144748	77778	78311	protein_coding
10	KLLN	49.86	100144748	87859158	87863533	protein_coding
12	RNU7-1	42.86	100147744	6943816	6943878	snRNA
3	PDCD6IP	36.87	10015	33798571	33869707	protein_coding
2	RNU4ATAC	45.67	100151683	121530881	121531007	snRNA
11	SCARNA9	40.23	100158262	93721513	93721865	lncRNA
5	PDCD6	51.30	10016	271621	314974	protein_coding
2	DBIL5P2	45.21	100169989	63117851	63119542	lncRNA
19	SRRM5	50.64	100170229	43596617	43614498	protein_coding
19	ERICH4	50.25	100170765	41443156	41444765	protein_coding
HSCHR17_7_CTG4	EPOP	63.89	100170841	2707022	2710740	protein_coding
17	EPOP	64.06	100170841	38671703	38674957	protein_coding
2	BCL2L11	44.42	10018	111119378	111168444	protein_coding
6	TOMM6	50.87	100188893	41787662	41789898	protein_coding
13	LINC00426	44.99	100188949	30340267	30377145	lncRNA
9	LINC00092	56.63	100188953	96019724	96027993	lncRNA
2	DCTN1-AS1	43.61	100189589	74385474	74393882	lncRNA
12	SH2B3	54.03	10019	111405923	111451623	protein_coding
5	C5orf52	48.40	100190949	157671533	157680158	protein_coding
1	C2CD4D	66.28	100191040	151837818	151840557	protein_coding
18		45.49	100192426	8360820	8367034	lncRNA
20	CDH4	51.80	1002	61252261	61940617	protein_coding
HSCHR20_1_CTG2	CDH4	56.24	1002	8605	54269	protein_coding
9	GNE	43.82	10020	36214441	36277042	protein_coding
10	FRAT1	62.31	10023	97319271	97321915	protein_coding
21	TEKT4P2	45.64	100233156	9068325	9129773	lncRNA
12	PCED1B-AS1	42.58	100233209	47205893	47216487	lncRNA
12	TROAP	53.10	10024	49323236	49331731	protein_coding
12		49.68	100240735	54076838	54081903	lncRNA
HSCHR19_5_CTG2	MED16	64.29	10025	46856	60469	protein_coding
19	MED16	62.67	10025	867630	893218	protein_coding
1	PIGK	35.84	10026	77088989	77219430	protein_coding
5	RPL26L1-AS1	48.99	100268168	172954786	172959392	lncRNA
8	CASC11	44.86	100270680	127686343	127738987	lncRNA
20	LCDR	43.62	100270804	18794078	18796067	lncRNA
19	MEF2B	54.54	100271849	19145567	19192131	protein_coding
6	AIRN	51.76	100271873	160003291	160007664	lncRNA
7	RASA4B	56.34	100271927	102479976	102517777	protein_coding
X	CMC4	40.03	100272147	155061622	155071136	protein_coding
12	BCDIN3D-AS1	44.96	100286844	49827913	49841143	lncRNA
HG2267_PATCH	MCPH1-DT	49.69	100287015	339029	342620	lncRNA
8	MCPH1-DT	49.69	100287015	6403551	6407142	lncRNA
16	DDX11L16	57.65	100287029	11555	14090	lncRNA
17	MIF4GD-DT	60.78	100287042	75271369	75273895	lncRNA
1	DCAF8-DT	53.75	100287049	160261731	160263328	lncRNA
1	DDX11L2	57.50	100287102	11869	14409	lncRNA
9	WASHC1	45.88	100287171	14475	73865	protein_coding
19	EML2-AS1	61.40	100287177	45641494	45642840	lncRNA
12	MANSC4	42.78	100287284	27762427	27780236	protein_coding
7	SMKR1	45.87	100287482	129502531	129512918	protein_coding
11	GLYATL1B	37.69	100287520	59086307	59094786	protein_coding
15	ADPGK-AS1	45.84	100287559	72782835	72798199	lncRNA
12	LINC00173	50.76	100287569	116533422	116536518	lncRNA
HG2499_PATCH	DDX11L16	57.53	100287596	82695	85230	lncRNA
15	DDX11L16	57.53	100287596	101976558	101979093	lncRNA
1	DDX11L2	57.50	100287596	11869	14409	lncRNA
15	LOXL1-AS1	50.50	100287616	73908071	73928248	lncRNA
3	MTHFD2P1	34.88	100287639	95654423	95683193	lncRNA
1	AP4B1-AS1	40.50	100287722	113856635	113901237	lncRNA
1	LINC00582	41.87	100287814	231591292	231612090	lncRNA
3	LINC00994	42.86	100287879	64078361	64087363	lncRNA
11	LIPT2-AS1	40.69	100287896	74493366	74498533	lncRNA
HSCHR1_1_CTG3	TTC34	60.14	100287898	186761	352889	protein_coding
1	TTC34	59.57	100287898	2636986	2801693	protein_coding
1	LGALS8-AS1	60.74	100287902	236523052	236524508	lncRNA
10	TIMM23	40.13	100287932	45972489	46003742	protein_coding
12		42.35	100287944	106495958	106774926	lncRNA
16	SDR42E2	51.24	100288072	22162492	22192208	protein_coding
1	GS1-279B7.1	40.56	100288079	185321157	185335039	lncRNA
18	LDLRAD4-AS1	48.16	100288122	13419421	13427480	lncRNA
1	NBPF20	43.91	100288142	145289900	145425603	protein_coding
1		62.85	100288175	1059687	1066459	lncRNA
6	HMGN3-AS1	42.30	100288198	79233699	79236797	lncRNA
13		42.49	100288208	74412957	74419115	lncRNA
HSCHR16_1_CTG1	NPIPA5	46.10	100288332	1021570	1036314	protein_coding
16	NPIPA5	45.79	100288332	15363628	15381047	protein_coding
15	ULK4P2	40.00	100288380	30572738	30600647	lncRNA
4	ERVMER34-1	41.30	100288413	52722618	52751586	protein_coding
HG2499_PATCH	DDX11L16	57.53	100288486	82695	85230	lncRNA
15	DDX11L16	57.53	100288486	101976558	101979093	lncRNA
15		41.65	100288637	30658717	30772993	lncRNA
2	LIMS4	41.75	100288695	110445883	110473075	protein_coding
HSCHR12_1_CTG1	WASH8P	54.32	100288778	4522	22015	unprocessed_pseudogene
12	WASH8P	54.31	100288778	14522	32015	unprocessed_pseudogene
3	FRG2C	44.35	100288801	75664328	75667220	protein_coding
9	B3GALT9	42.82	100288842	120792403	120801787	protein_coding
14	MIA2-AS1	49.89	100288846	39265703	39267061	lncRNA
17	NGFR-AS1	51.11	100288866	49505657	49574064	lncRNA
7	LINC03011	53.07	100289098	66493607	66495758	lncRNA
9	ANKRD18A	41.82	100289137	38540567	38620596	protein_coding
1	GNG12-AS1	40.28	100289178	67832293	68202987	lncRNA
7	TMEM225B	50.04	100289187	99598267	99611045	protein_coding
5	CHD1-DT	39.81	100289230	98929163	98995013	lncRNA
17	TMEM238L	49.77	100289255	10794908	10804099	protein_coding
13	DNAJC3-DT	38.94	100289274	95648711	95676973	lncRNA
HG1206_PATCH	CNTNAP3C	38.39	100289279	48751	219108	protein_coding
9	CNTNAP3C	38.12	100289279	61330717	61453030	protein_coding
9	MAN1B1-DT	60.58	100289341	137084946	137086817	lncRNA
13	UBAC2-AS1	43.42	100289373	99181223	99200757	lncRNA
11	KCTD21-AS1	47.56	100289388	78139756	78175323	lncRNA
20		46.96	100289473	1773365	1779746	lncRNA
6		42.79	100289495	166342626	166351466	lncRNA
12	ZNF605	46.54	100289635	132918306	132956306	protein_coding
7	ZNF783	51.50	100289678	149262171	149297302	protein_coding
12	LINC00942	55.00	100292680	1500525	1504424	lncRNA
19	ZNF587B	47.02	100293516	57819721	57846238	protein_coding
6		40.52	100294145	32894299	32903758	lncRNA
17	RNF213-AS1	48.14	100294362	80351828	80415168	lncRNA
16	CDH5	49.51	1003	66366690	66404784	protein_coding
X	MIR1184-1	56.57	100302111	154887360	154887458	miRNA
3	MIR1284	30.00	100302112	71541970	71542089	miRNA
7	MIR1200	48.68	100302113	36919357	36919432	miRNA
1	MIR1182	58.76	100302132	231019828	231019924	miRNA
10	MIR1287	51.11	100302133	98395218	98395307	miRNA
20	MIR1292	71.21	100302138	2652777	2652842	miRNA
3	MIR1248	37.74	100302143	186786672	186786777	miRNA
10	MIR1296	57.61	100302150	63372957	63373048	miRNA
7	MIR548N	36.00	100302152	34940760	34940834	miRNA
HG76_PATCH	MIR1322	33.80	100302166	2521689	2521759	miRNA
8	MIR1322	33.80	100302166	10825373	10825443	miRNA
8	MIR1206	42.37	100302170	128008898	128008956	miRNA
10	MIR1307	56.38	100302174	103394253	103394401	miRNA
5	MIR1294	45.77	100302181	154347106	154347247	miRNA
12	MIR1279	29.03	100302182	69273157	69273218	miRNA
20	MIR1825	64.15	100302183	32237795	32237847	miRNA
8	MIR1204	52.24	100302185	127795962	127796028	miRNA
22	MIR1306	58.82	100302197	20086058	20086142	miRNA
19	MIR1181	72.84	100302213	10403458	10403538	miRNA
12	MIR1291	51.72	100302221	48654444	48654530	miRNA
10	MIR2110	61.33	100302224	114174105	114174179	miRNA
11	MIR1304	52.75	100302240	93733674	93733764	miRNA
6	MIR1236	54.90	100302242	31956839	31956940	miRNA
15	MIR1282	54.46	100302254	43793659	43793759	miRNA
11	MIR548L	39.53	100302275	94466495	94466580	miRNA
2	MIR1244-1	31.76	100302285	231713314	231713398	miRNA
8	PTCSC1	48.67	100302522	133054959	133057767	lncRNA
2	ASB3	39.55	100302652	53532672	53860160	protein_coding
1	LINC00184	41.99	100302691	234629311	234634780	lncRNA
X	FTX	39.58	100302692	73940435	74293574	lncRNA
5	TMED7-TICAM2	37.42	100302736	115578642	115626161	protein_coding
2	SNORA80B	58.82	100302743	10446714	10446849	snoRNA
2	ZEB2-AS1	43.00	100303491	144517978	144521477	lncRNA
X	SLC25A5-AS1	49.28	100303728	119465986	119469128	lncRNA
20	PET117	45.15	100303755	18137863	18143169	protein_coding
17	PITPNA-AS1	52.33	100306951	1516877	1518101	lncRNA
8		54.77	100310756	143556816	143558325	lncRNA
7	SPDYE2B	49.10	100310812	102650319	102662625	protein_coding
7	ANKRD61	46.30	100310846	6031376	6036552	protein_coding
7	MIR548O	35.96	100313829	102405742	102405855	miRNA
14	MIR548H1	35.29	100313830	64095024	64095125	miRNA
10	MIR548Q	33.00	100313841	12725254	12725353	miRNA
13	MIR2276	57.30	100313842	24162416	24162504	miRNA
5	MIR2277	69.89	100313887	93620696	93620788	miRNA
1	MIR761	54.24	100313892	51836344	51836402	miRNA
10	MIR548E	35.23	100313921	110988926	110989013	miRNA
7	SAP25	68.08	100316904	100572228	100573900	protein_coding
2	SNORA70F	48.89	100337591	164687643	164687777	snoRNA
Y	LINC00102	39.58	100359394	2612988	2615347	lncRNA
X	LINC00102	39.58	100359394	2612988	2615347	lncRNA
19	CHAF1A	51.16	10036	4402640	4445018	protein_coding
12	SNORA70G	52.82	100379132	68627234	68627375	snoRNA
4	TMED11P	41.02	100379220	1115197	1136150	lncRNA
21	BACH1	39.61	100379661	29194071	29630751	protein_coding
HG2526_HG2573_PATCH	PARP2	42.30	10038	546296	560585	protein_coding
14	PARP2	42.30	10038	20343615	20357904	protein_coding
1	ZBED6	40.86	100381270	203795623	203854124	protein_coding
3	PARP3	59.21	10039	51942345	51948867	protein_coding
17	TOM1L1	41.10	10040	54899387	54961956	protein_coding
4		41.40	100419170	153640168	153681180	lncRNA
22	HMGXB4	41.49	10042	35257452	35295807	protein_coding
19		42.74	100420587	28435388	28727680	lncRNA
10	FAM21EP	44.15	100421577	50021182	50067803	lncRNA
2	MIR3128	30.30	100422824	177255945	177256010	miRNA
18	MIR4319	52.94	100422829	44970082	44970166	miRNA
19	MIR3191	65.79	100422832	47226944	47227019	miRNA
15	MIR3174	45.98	100422841	90006755	90006841	miRNA
3	MIR3136	38.46	100422859	69048958	69049035	miRNA
13	MIR4306	49.45	100422861	99643059	99643149	miRNA
12	MIR1244-3	31.76	100422872	9239467	9239551	miRNA
5	MIR1244-2	31.76	100422885	118974586	118974670	miRNA
4	MIR3140	36.67	100422896	152489327	152489416	miRNA
19	MIR3190	66.25	100422899	47226942	47227021	miRNA
10	MIR4295	45.88	100422909	112634170	112634254	miRNA
8	MIR3149	32.53	100422921	76966768	76966850	miRNA
17	MIR4315-2	56.16	100422961	64822030	64822102	miRNA
7	MIR3146	37.97	100422967	19705358	19705436	miRNA
